Summary
metric,value
Total triads,24.0
Triad-event share (%),3.75
Triads (% of noteheads),1.92
Root-position triads (% of noteheads),0.48
Onset events,640.0
Adjusted notehead count,1252.0

Detected Triads
measure,position,quality,inversion,root,bass,pitches,spellings
7,beat 2 + eighth,major,1,D♭,F,F2 A♭2 D♭3 A♭3,"('A♭', 'A♭', 'D♭', 'F')"
8,beat 3,minor,0,F,F,F2 A♭4 C5 F5,"('A♭', 'C', 'F', 'F')"
17,beat 1 + quarter,major,0,A♭,A♭,A♭3 C4 E♭5,"('A♭', 'C', 'E♭')"
17,beat 4,augmented,0,G,G,G3 B3 D♯4,"('B', 'D♯', 'G')"
18,beat 2 + quarter,minor,1,F♯,A,A4 C♯5 F♯5,"('A', 'C♯', 'F♯')"
27,beat 1 + quarter,diminished,0,F♯,F♯,F♯2 A4 C5,"('A', 'C', 'F♯')"
29,beat 1 + eighth,diminished,1,B,D,D3 F3 B3,"('B', 'D', 'F')"
29,beat 3,diminished,1,B,D,D3 F3 B3,"('B', 'D', 'F')"
30,beat 1 + eighth,diminished,1,B,D,D3 F3 B3,"('B', 'D', 'F')"
33,beat 1 + eighth,diminished,1,B,D,D3 F3 B3,"('B', 'D', 'F')"
33,beat 3,diminished,1,B,D,D3 F3 B3,"('B', 'D', 'F')"
38,beat 1 + eighth,diminished,1,B,D,D3 F3 B3,"('B', 'D', 'F')"
38,beat 4,diminished,1,B,D,D3 F3 B3,"('B', 'D', 'F')"
39,beat 6 + eighth,major,1,F,A,A2 C3 F4,"('A', 'C', 'F')"
41,beat 1 + quarter,major,0,F♭,F♭,F♭3 A♭3 C♭5,"('A♭', 'C♭', 'F♭')"
41,beat 4,augmented,1,C♭,E♭,E♭3 G3 C♭4,"('C♭', 'E♭', 'G')"
41,beat 4 + quarter,minor,1,B♭,D♭,D♭3 F3 D♭4 B♭4,"('B♭', 'D♭', 'D♭', 'F')"
42,beat 2 + quarter,minor,1,D,F,F4 A4 D5,"('A', 'D', 'F')"
42,beat 4 + eighth,minor,0,B♭,B♭,B♭4 D♭5 F5,"('B♭', 'D♭', 'F')"
50,beat 1,minor,1,D,F,F3 A3 D4,"('A', 'D', 'F')"
51,beat 2 + eighth,minor,1,D,F,F3 A3 D4,"('A', 'D', 'F')"
52,beat 3,minor,1,D,F,F3 A3 D4,"('A', 'D', 'F')"
53,beat 2 + eighth,minor,1,D,F,F3 A3 D4,"('A', 'D', 'F')"
59,beat 2 + quarter,minor,2,D,A,A2 F3 D4,"('A', 'D', 'F')"
