Summary
metric,value
Total triads,17.0
Triad-event share (%),4.78
Triads (% of noteheads),2.01
Root-position triads (% of noteheads),0.59
Onset events,356.0
Noteheads,844.0

Detected Triads
measure,position,quality,inversion,root,bass,pitches,spellings
9,beat 1 + sixteenth,major,1,C,E,E3 G3 C4,"('C', 'E', 'G')"
12,beat 4,minor,2,F♯,C♯,C♯3 F♯3 A3,"('A', 'C♯', 'F♯')"
15,beat 1 + eighth,minor,1,F,A♭,A♭2 C4 F4,"('A♭', 'C', 'F')"
15,beat 2 + eighth,major,0,D,D,D3 A3 F♯4,"('A', 'D', 'F♯')"
20,beat 1,minor,0,E,E,E4 G4 B5,"('B', 'E', 'G')"
20,beat 1 + eighth,major,1,C,E,E4 G4 C5,"('C', 'E', 'G')"
20,beat 2 + sixteenth,major,0,D,D,D3 F♯6 A6,"('A', 'D', 'F♯')"
20,beat 2 + dotted eighth,minor,0,E,E,E4 G4 B5,"('B', 'E', 'G')"
20,beat 4,major,1,C,E,E4 G4 C5,"('C', 'E', 'G')"
21,beat 2,minor,2,E♭,B♭,B♭3 G♭4 E♭5,"('B♭', 'E♭', 'G♭')"
22,beat 1 + eighth,major,1,G♭,B♭,B♭3 G♭4 D♭6,"('B♭', 'D♭', 'G♭')"
28,beat 4 + eighth,major,1,D,F♯,F♯2 A2 D3,"('A', 'D', 'F♯')"
31,beat 1,major,1,G,B,B5 D6 G6,"('B', 'D', 'G')"
33,beat 5,major,2,C,G,G4 C5 E5,"('C', 'E', 'G')"
35,beat 1 + quarter,diminished,1,G♯,B,B2 G♯5 D6,"('B', 'D', 'G♯')"
37,beat 2,minor,0,F♯,F♯,F♯3 C♯4 A4,"('A', 'C♯', 'F♯')"
39,beat 2,minor,2,F♯,C♯,C♯4 F♯4 A4,"('A', 'C♯', 'F♯')"
