Summary
metric,value
Total triads,12.0
Triad-event share (%),1.85
Triads (% of noteheads),1.04
Root-position triads (% of noteheads),0.09
Onset events,649.0
Adjusted notehead count,1155.0

Detected Triads
measure,position,quality,inversion,root,bass,pitches,spellings
8,beat 2 + eighth,diminished,2,A,E♭,E♭3 A3 C4,"('A', 'C', 'E♭')"
17,beat 2,diminished,2,E,B♭,B♭2 G3 E4,"('B♭', 'E', 'G')"
22,beat 1 + eighth,diminished,2,G♯,D,D3 G♯4 B4,"('B', 'D', 'G♯')"
26,beat 2 + 1.25 quarter notes,augmented,2,E♭,B,B3 E♭4 G5,"('B', 'E♭', 'G')"
32,beat 1 + quarter,major,0,F,F,F3 A3 C5,"('A', 'C', 'F')"
53,beat 2 + eighth,diminished,2,F♯,C,C2 A2 F♯4,"('A', 'C', 'F♯')"
54,beat 1 + quarter,diminished,2,D♯,A,A2 F♯3 D♯4,"('A', 'D♯', 'F♯')"
54,beat 2 + eighth,augmented,1,A♭,C,C3 E3 A♭3,"('A♭', 'C', 'E')"
55,beat 1 + eighth,minor,2,A♭,E♭,E♭2 A♭2 C♭3,"('A♭', 'C♭', 'E♭')"
55,beat 2,minor,1,G♯,B,B1 D♯2 G♯2,"('B', 'D♯', 'G♯')"
58,beat 4,major,2,C,G,G3 C4 E4,"('C', 'E', 'G')"
65,beat 4,diminished,1,C♯,E,E2 G2 C♯3,"('C♯', 'E', 'G')"
